Type, Product, Started Date, Completed Date, Description, Amount, Fee, Currency, State, Balance
CARD_PAYMENT, Current, 2024-10-27 20:18:50, 2024-10-28 01:18:50, Texts, -4.60, 0.00, EUR, COMPLETED, 20.15
CARD_PAYMENT, Savings, 2024-10-27 22:10:15, 2024-10-28 00:00:00, Groceries, -25.30, 0.50, USD, COMPLETED, 150.75
TRANSFER, Current, 2024-10-28 08:30:00, 2024-10-28 08:45:00, Salary, 1500.00, 2.00, GBP, COMPLETED, 1620.15
DEPOSIT, Savings, 2024-10-29 09:00:00, 2024-10-29 09:10:00, Cash Deposit, 500.00, 0.00, EUR, COMPLETED, 200.15
WITHDRAWAL, Current, 2024-10-30 12:00:00, 2024-10-30 12:05:00, ATM Withdrawal, -100.00, 1.00, USD, COMPLETED, 1420.15
CARD_PAYMENT, Current, 2024-10-30 15:45:00, 2024-10-30 16:00:00, Online Shopping, -75.00, 0.00, EUR, PENDING, 1345.15
TRANSFER, Savings, 2024-10-31 14:20:00, 2024-10-31 14:30:00, Rent Payment, -800.00, 5.00, GBP, COMPLETED, 1200.15
DEPOSIT, Current, 2024-11-01 10:15:00, 2024-11-01 10:30:00, Refund, 100.00, 0.00, USD, COMPLETED, 1500.15
WITHDRAWAL, Savings, 2024-11-02 18:00:00, 2024-11-02 18:05:00, Bill Payment, -50.00, 0.50, EUR, COMPLETED, 180.15
CARD_PAYMENT, Current, 2024-11-03 21:00:00, 2024-11-03 21:10:00, Movie Tickets, -20.00, 0.00, USD, COMPLETED, 1480.15
